"vm-changeto";"Zu welchem Verzeichnis möchten Sie wechseln?";"Change to which folder?";
"vm-Cust1";"Verzeichnis 5";"folder 5";
"vm-Cust2";"Verzeichnis 6";"folder 6";
"vm-Cust3";"Verzeichnis 7";"folder 7";
"vm-Cust4";"Verzeichnis 8";"folder 8";
"vm-Cust5";"Verzeichnis 9";"folder 9";
"vm-delete";"Drücken Sie 7, um diese Nachricht zu löschen.";"Press 7 to delete this message.";
"vm-deleted";"Nachricht gelöscht.";"Message deleted.";
"vm-dialout";"Bitte warten Sie während ihr Gespräch verbunden wird";"please wait while i connect your call";
"vm-duration";"Die Ansage hat eine Länge von";"This message lasts";
"vm-enter-num-to-call";"Bitte geben Sie die gewünschte Rufnummer ein.";"please enter the number you wish to call";
"vm-extension";"Rufnummer";"extension";
"vm-Family";"Familie";"family";
"vm-first";"erste";"first";
"vm-for";"für";"for";
"vm-forward";"Drücken Sie 1 um eine Nummer einzugeben, drücken Sie 2 für das Telefonverzeichnis";"Press 1 to enter an extension, press 2 to use the directory";
"vm-forwardoptions";"drücken Sie 1 um eine eigene Nachricht vorwegzustellen oder drücken Sie 2 um die Nachricht so weiterzuleiten";"press 1 to prepend a message or 2 to forward the message without prepending";
"vm-Friends";"Freunde";"friends";
"vm-from";"von";"from";
"vm-from-extension";"Nachricht von der Rufnummer";"message from extension";
"vm-from-phonenumber";"Nachricht von der Telefonnummer";"message from phone number";
"vm-goodbye";"Tschüs.";"Goodbye";
"vm-helpexit";"Drücken Sie die Stern-Taste für Hilfe oder die Raute-Taste zum Verlassen";"Press star for help or pound to exit.";
"vm-INBOX";"neue";"new";
"vm-incorrect";"Fehlerhaftes Login.";"Login incorrect.";
"vm-incorrect-mailbox";"Fehlerhaftes Login. Welche Mailbox?";"Login incorrect. Mailbox?";
"vm-instructions";"Um Ihre Nachrichten aufzurufen, drücken Sie die 1. Sie können das Voicemail System jederzeit durch drücken der Raute-Taste beenden.";"To look into your messages press 1 now. You may quit voicemail at any time by pressing the pound key.";
"vm-intro";"Bitte hinterlassen Sie eine Nachricht nach dem Ton. Wenn Sie fertig sind, legen Sie bitte auf oder drücken Sie die Raute-Taste.";"Please leave your message after the tone. When done hang up or press the pound key.";
"vm-invalid-password";"Diese Passwort erfüllt nicht die minimalen Anforderungen für dieses Voicemailsystem. Bitte versuchen Sie es noch einmal.";"That password does not meet the minimum requirements for this mailbox. Please try again.";
"vm-invalidpassword";"Das ist kein gültiges Passwort. Bitte versuchen Sie es noch einmal.";"That is not a valid password. Please try again.";
"vm-isonphone";"spricht gerade";"is on the phone";
"vm-isunavail";"ist nicht erreichbar";"is unavailable";
"vm-last";"letzte";"last";
"vm-leavemsg";"Drücken Sie 5 um eine Nachricht zu hinterlassen.";"Press 5 to leave a message";
"vm-login";"Voicemailsystem. Bitte geben Sie die Nummer Ihrer Mailbox ein.";"Comedian Mail. Mailbox?";
"vm-mailboxfull";"Leider kann die Mailbox den von Ihnen angerufenen Teilnehmers keine weiteren Nachrichten aufnehmen.";"sorry but the user's mail box can't accept more messages";
"vm-marked-nonurgent";"Dringend Status gelöscht.";"Urgent status removed.";
"vm-marked-urgent";"Nachricht wurde als Dringed markiert.";"Message marked urgent.";
"vm-message";"Nachricht";"message";
"vm-messages";"Nachrichten";"messages";
"vm-minutes";"Minuten";"minutes";
"vm-mismatch";"Die von Ihnen eingegebenen Passwörter waren falsch. Bitte versuchen Sie ein noch einmal.";"The passwords you entered and re-entered did not match. Please try again.";
"vm-msginstruct";"Zum Hören der nächsten Nachricht drücken Sie die 6, um die aktuelle Nachricht noch einmal zu hören drücken Sie die 5, um die vorherige Nachricht zu hören drücken Sie die 4, um die aktuelle Nachricht zu Löschen und ein Löschen aufzuheben drücken Sie die 0. Um das Voicemailsystem zu verlassen, drücken Sie die Raute-Taste.";"To hear the next message press 6, to repeat this message press 5, to hear the previous message press 4, to delete or undelete this message press zero, to quit voicemail press pound.";
"vm-msgsaved";"Ihre Nachricht wurde abgespeichert.";"Your message has been saved.";
"vm-newpassword";"Bitte geben Sie Ihr neues Passwort ein und beenden Sie die Eingabe mit der Raute-Taste.";"Please enter your new password followed by the pound key.";
"vm-newuser";"Willkommen zum Voicemail-System. Als erstes müssen ein paar Einstellungen vorgenommen werden.";"Welcome to Comedian Mail. First, I will guide you through a short setup process.";
"vm-next";"Drücken Sie 6 um die nächste Nachricht abzuspielen.";"Press 6 to play the next message.";
"vm-no";"keine";"no";
"vm-nobodyavail";"Niemand ist zur Zeit verfügbar, um Ihr Gespräch entgegen zu nehmen.";"Nobody is available to take your call at the moment";
"vm-nobox";"Sie können dieser Nachricht nicht antworten, da der Absender keine eigene Mailbox in diesem System hat.";"you cannot reply to this message because the sender does not have a mailbox";
"vm-nomore";"Keine weiteren Nachrichten.";"No more messages.";
"vm-nonumber";"Ich weiss nicht, wer diese Nachricht gesendet hat.";"i'm afraid i don't know who sent this message";
"vm-num-i-have";"Die Nummer lautet";"the number i have is";
"vm-Old";"alte";"old";
"vm-onefor";"Drücken Sie 1 für";"Press 1 for";
"vm-onefor-full";"Drücken Sie die 1 zum Hören von";"Press one to listen to";
"vm-options";"Drücken Sie 1 um eine Nachricht für den „nicht erreichbar“ Status aufzunehmen. Drücken Sie 2 um eine Nachricht für den „besetzt“ Status aufzunehmen. Drücken Sie die 3 um Ihren Namen aufzunehmen. Drücken Sie die 4 um eine persönliche Begrüssung aufzunehmen, drücken Sie die 5 um Ihr Passwort zu ändern. Durch drücken der Stern-Taste kommen Sie zurück ins Hauptmenü.";"Press 1 to record your unavailable message, press 2 to record your busy message, press 3 to record your name, press 4 to record your temporary greeting, press 5 to change your password, press star to return to the main menu.";
"vm-opts";"Drücken Sie 2 um das Verzeichnis zu wechseln, die 3 für weitergehende Optionen und die 0 für Mailbox Optionen.";"Press 2 to change folders, press 3 for advanced options, press zero for mailbox options.";
"vm-opts-full";"Drücken Sie die 2 um abgespeicherte Nachrichten in anderen Verzeichnissen zu erreichen. Drücken Sie 3 um eine Nachricht für eine andere Mailbox aufzunehmen. Drücken Sie die 0 für das Management der Begrüssung und des Passwortes.";"press 2 to access messages saved in other folders. Press 3 to record a message for another mailbox. Press 0 for greetings and password management.";
"vm-passchanged";"Ihr Passwort wurde geändert.";"Your passwords have been changed.";
"vm-password";"Passwort";"password";
"vm-press";"drücken sie";"press";
"vm-prev";"Drücken Sie 4 für die vorherige Nachricht.";"Press 4 for the previous message";
"vm-reachoper";"Drücken Sie 0 für einen menschlichen Operator";"press 0 to reach an operator";
"vm-rec-busy";"Sagen Sie nach dem Signalton Ihre besetzt Nachricht und beenden Sie die Aufnahme durch Drücken der Raute-Taste.";"After the tone say your busy message and then press the pound key.";
"vm-rec-name";"Sagen Sie nach dem Signalton Ihren Namen und beenden Sie die Aufnahme durch Drücken der Raute-Taste.";"After the tone say your name and then press the pound key.";
"vm-rec-temp";"Sagen Sie nach dem Signalton Ihre persönliche Ansage und beenden Sie die Aufnahme durch Drücken der Raute-Taste.";"After the tone, say your temporary message, and then press the pound key.";
"vm-rec-unv";"Sagen Sie nach dem Signalton Ihre „nicht erreichbar“ Nachricht und beenden Sie die Aufnahme durch Drücken der Raute-Taste.";"After the tone say your unavailable message and then press the pound key.";
"vm-received";"bekommen";"received";
"vm-reenterpassword";"Bitte geben Sie Ihr Passwort erneut ein. Beenden Sie die Eingabe mit der Raute-Taste.";"Please re-enter your password followed by the pound key.";
"vm-repeat";"Drücken Sie 5 um die aktuelle Nachricht zu wiederholen.";"Press 5 to repeat the current message.";
"vm-review";"Drücken Sie 1 um die Aufnahme zu aktzeptieren, die 2 um sie noch einmal abzuspielen und die 3 um die Aufnahme zu wiederholen.";"press 1 to accept this recording press 2 to listen to it press 3 to rerecord your message";
"vm-review-nonurgent";"Drücken Sie die 4 um den Dringed Status dieser Nachricht zu entfernen.";"Press 4 to remove the urgent status of this message.";
"vm-review-urgent";"Drücken Sie die 4 um diese Nachricht als Dringend einzustufen.";"Press 4 to mark this message as urgent.";
"vm-saved";"gespeichert";"saved";
"vm-savedto";"gespeichert in";"saved to";
"vm-savefolder";"In welches Verzeichnis soll die Nachricht gespeichert werden?";"Which folder should I save the message to?";
"vm-savemessage";"oder 9 um die Nachricht zu speichern.";"or 9 to save this message";
"vm-saveoper";"drücken Sie 1 um die Aufnahme zu aktzeptieren, an sonsten warten Sie bitte";"press 1 to accept this recording, otherwise, please continue to hold";
"vm-sorry";"Ihre Eingabe wurde vom System nicht verstanden.";"I'm sorry I did not understand your response.";
"vm-star-cancel";"Drücken Sie die Stern-Taste zum Abbrechen.";"press star to cancel";
"vm-starmain";"Drücken Sie die Stern-Taste um in das Hauptmenü zu gelangen.";"press star to return to the main menu";
"vm-tempgreetactive";"Ihre persönliche Ansage ist aktiviert.";"Your temporary greeting is currently active";
"vm-tempgreeting";"Drücken Sie 1 für eine persönliche Ansage";"press 1 to record your temporary greeting";
"vm-tempgreeting2";"Drücken Sie 1 um eine persönliche Ansage aufzunehmen oder drücken Sie 2 um die persönliche Ansage zu löschen.";"press 1 to record your temporary greeting, or press 2 to erase your temporary greeting";
"vm-tempremoved";"Ihre persönliche ansage wurde gelöscht.";"Your temporary greeting has been removed";
"vm-then-pound";"dann die Raute-Taste";"then press pound";
"vm-theperson";"Die Person mit der Nummer";"The person at extension";
"vm-tmpexists";"Es existiert eine temporäre Begrüssung, die die Standardbegrüssung überschreibt.";"There is a temporary greeting, which overrides your standard greetings.";
"vm-tocallback";"drücken Sie 2 um den Absender dieser Nachricht zurückzurufen";"press 2 to call the person who sent this message";
"vm-tocallnum";"drücken Sie 1 um diese Nummer anzurufen";"press 1 to call this number";
"vm-tocancel";"oder drücken Sie die Raute-Taste zum beenden.";"or pound to cancel.";
"vm-tocancelmsg";"drücken Sie die Stern-Taste um diese Nachricht zu verwerfen";"press star to cancel this message";
"vm-toenternumber";"drücken Sie die 1 um eine Nummer einzugeben";"press 1 to enter a number";
"vm-toforward";"Drücken Sie die 8 um diese Nachricht an einen anderen Benutzer weiterzuleiten";"Press 8 to forward the message to another user";
"vm-tohearenv";"drücken Sie 3 um die Informationen zu dieser Nachricht zu hören";"press 3 to hear the message envelope";
"vm-tomakecall";"drücken Sie 4 um einen Anruf zu tätigen";"press 4 to place an outgoing call";
"vm-tooshort";"Ihre Nachricht ist zu kurz.";"your message is too short";
"vm-toreply";"drücken Sie 1 um eine Anwort zu senden";"press 1 to send a reply";
"vm-torerecord";"drücken Sie 3 um Ihre Nachricht noch einmal aufzunehmen";"press 3 to rerecord your message";
"vm-undelete";"Drücken Sie 7 um Ihre Nachricht zu löschen.";"Press 7 to undelete this message";
"vm-undeleted";"Nachricht wiederhergestellt.";"Message undeleted.";
"vm-unknown-caller";"von einem unbekannten Anrufer";"from an unknown caller";
"vm-Urgent";"Dringend";"urgent";
"vm-whichbox";"Um eine Nachricht zu hinterlassen, geben Sie bitte die Mailboxnummer ein.";"To leave a message, please enter a mailbox number.";
"vm-Work";"Arbeit";"work";
"vm-youhave";"Sie haben";"you have";
